,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX
ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,,,,,,,,,,,,,,,
,,,,,,,,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern
,,,,,,,,,,,,,,,,,,,,,,
527,именно VP,именно уехать-то нельзя!,,Discourse,Emphasis,,Exclusivity,,Part,,,,,,,,,,Part,,,
528,как-никак NP,как-никак поджог,Примеры нужно подобрать лучше и понятнее. Пошлешь прямым текстом для уровня A2 это точно нонсенс. Уровень конструкции скорее C1. Similar to все-таки.,Characteristics,Categorisation,,Attitude,,Part,,,,,,,,,,Part,,,
529,как-то/что-то Cl,что-то мне душно,,Discourse,Degree of certainty,,,,Part,,,,,,,,,,Part,,,
530,не иначе как XP,дома кошку называли не иначе как Охотница,,Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,
531,"не кто иной, как NP (Cl)","Это был не кто иной, как директор школы.",,Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,
532,"не что иное как, NP-Nom","Это не что иное, как ложь.","Конструкция не выходит при поиске, только при поиске слов не что иное.",Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,
533,"никто иной, (кроме NP-Gen), не Cl","Никто иной, кроме тебя, не знает этой дороги",,Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,
534,"ничто иное, кроме NP-Gen, Cl","Ничто иное, кроме экзаменов, меня не интересует",,Characteristics,Exclusivity,,,,Part,,,,,,,,,,Part,,,
535,один NP,От него одни проблемы,,Characteristics,Intensity,High,,,Part,,,,,,,,,,Part,,,
536,сплошной NP,На полях сражений царил сплошной ужас,,Characteristics,Intensity,High,,,Part,,,,,,,,,,Part,,,
537,то ли дело NP,Устала работать! То ли дело беззаботное лето,,Characteristics,Comparison,,,,Part,,,,,,,,,,Part,,,
538,то-то Cl,Не завтракал. То-то я хочу есть!,,Discourse,Reaction to the previous discourse,,,,Part,,,,,,,,,,Part,,,
539,чуть ли не Cl,это чуть ли не в прошлом году случилось,,Characteristics,Approximation,,Degree of certainty,,Part,,,,,,,,,,Part,,,
540,Adv-то как Cl!,быстро-то как он справился с задачей!,,Characteristics,Assessment,,Intensity,,Part,Clause,,,,,,Adv,,,Part,,,
541,Cl и без того NP,летние пожары почти уничтожили и без того небогатый урожай,Соединить с 447?,Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,
542,Cl очень даже XP!,твой выбор я очень даже одобряю,???,Characteristics ,Assessment,,,,Part,,,,,,,,,,Part,,,
543,Cl полный NP,Это был полный провал!,,Characteristics,Intensity,High,,,Part,,,,,,,,,,Part,,,
544,Noun-то!,усищи-то!,Discource,Characteristics,Assessment,,Intensity,,Part,,,,,,,,,,Part,,,
545,NP (и) без того Cl,"Капитан и без того знал, что нужно делать.",Соединить с 408?,Discourse,Emphasis,,,,Part,Clause,,,,,,,,,Part,,,
546,NP и впрямь/вправду XP,я и впрямь ему верю,,Discourse,Reaction to the previous discourse,,Degree of certainty,,Part,,,,,,,,,,Part,,,
547,NP только что не Cl,его только что не на руках носят,,Characteristics / Activity,Intensity,High,,,Part,,,,,,,,,,Part,,,
548,NP-Dat только бы VP-Inf,мне только бы увидеть ее,,Activity,Exclusivity,,,,Part,,,,,,,,,,Part,,,
549,NP-Nom и так V-Past,мы и так задержались,"Конструкция используется для того, чтобы показать, что пришло время для [участников]Participantсменить [действие]Action, потому что оно длилось уже достаточно долго.",Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,
550,NP-Nom и VP,я и хотел сказать,"Конструкция используется для того, чтобы показать временное совпадение, своевременность [действия.]Action Тропа нас вывела на дорогу, по которой [ [мы]Agent [и]и [въехали]Action]NP-Nom_и_VP в город.",Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,
551,NP-Nom как таковой,обучение как таковое,,Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,
552,NP-Nom какой,"посмотрите, ужас какой",But why Part? Could be tagged: Adj,Characteristics,Intensity,High,Assessment,,Part,,,,,,Adj,,,,Part,,,
553,NP-Nom прямо VP/NP-Nom,я прямо так и подумала,"MISLEADING ILLUSTRATION (tak i is not in the scheme) Characteristics Sameness BUT IN FACT RATHER: Characteristics Intensification Конструкция употребляется для усиления значимости сказанного [говорящим]Agent, подтверждение его слов. [ [Это]Theme - [прямо]прямо [наказание]Theme ]NP-Nom_прямо_VP/NP-Nom какое-то!; [ [Я]Agent [прямо]прямо [удивился]Action ]NP-Nom_прямо_VP/NP-Nom такой его реакции на мои безобидные слова.",Characteristics / Activity,Intensity,High,,,Part,,,,,,,,,,Part,,,
554,NP-Nom самый что ни на есть NP-Nom,Ты самый что ни на есть умный человек!,,Characteristics,Assessment,,Intensity,,Part,,,,,,,,,,Part,,,
555,NP-Nom так и VP,дождь так и хлещет,"Нужно разделить на 2 конструкции. См. описание. Разница в виде глагола. Конструкция обозначает, что [какое-либо мгновенное событие]Event происходит неожиданно или [процесс]Theme, который происходит с большой интенсивностью - TWO DIFFERENT CONSTRUCTIONS PROBABLY HERE, может быть разница в виде глагола ",Activity,Intensity,High,Continuation,,Part,,,,,,,,,,Part,,,
556,NP-Nom таки VP,Он таки добился успеха.,"Соединить с 662, это та же конструкция (еще похоже на 624)",Activity,Unexpected outcome,,,,Part,,,,,,,,,,Part,,,
557,Pron-Nom же NP-Nom,он же мальчик,"Скорее более общая конструкция. Вася же учится, он же образованный и т.д.",Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,
558,SCONJ угодно,Вася попросил купить что угодно,"Конструкция выражает неопределенность автора в выборе [кого-либо, чего-либо, времени, места или образа действия]Theme . Говорящий допускает любой вариант.",Characteristics,Categorisation,,,,Part,,,,,,,,,,Part,,,
559,VP всё-таки,Он пришел всё-таки на её свадьбу,,Activity,Unexpected outcome,,,,Part,,,,,,,,,,Part,,,
560,VP же NP!,живут же некоторые,"Конструкция обозначает, что говорящий выражает некоторую зависть, ревность [тому]Theme/ [тем]Theme, кто добился определенных [успехов]Event, [удачлив]Event или [счастлив]Event. Кажется, что наполнение NP ограничено местоимениями (везёт же ему)",Characteristics,Attitude,,,,Part,,,,,,,,,,Part,,,
561,VP себе,Идет себе,"Опечатки исправлены, дефиниция откорректирована.",Activity,Manner,,,,Part,,,,,,,,,,Part,,,
562,VP SCONJ попало,Вася шлет письма кому попало,"Конструкция выражает негативное [отношение]Action к [объектам]Theme, [участникам]Theme, [месту]Theme , [времени]Theme или [образу действия]Theme, которые выбрал основной участник.",Activity,Assessment,Negative,Manner,,Part,,,,,,,,,,Part,,,
563,VP-Imper себе,помалкивай себе,???,Activity,Causation,Direct,Attitude,,Part,,,,,,,,,,Part,,,
564,VP-Inf ― всё равно что VP-Inf,курить в школе ― всё равно что заставлять детей курить,,Characteristics,Similarity,Sameness,,,Part,,,,,,,,,,Part,,,
565,VP-Past-таки!,пришёл-таки!,COMPARE TO 624,Activity,Unexpected outcome,,,,Part,,,,,,,,,,Part,,,
