ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern,,,Тэги из гуглдока,Структурные особенности,Negation,Reduplication,Inversion
437,Noun-Nom-Noun-Ins а/но Cl,"дружба-дружбой, но я влюбился в нее",В наименование конструкции нужно добавить запятую перед союзом.,Activity,Concession,,,Assertive,Nominal pattern / Clause,Clause,,,,,,,,,,,,Nominal pattern,,,,Reduplication,,Reduplication,
279,при NP-Loc Cl,При таком росте он может стать хорошим баскетболистом,,Activity,Condition,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
464,NP-Acc за NP-Ins,он курит сигарету за сигаретой,,Activity,Distribution,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Reduplication,,Reduplication,
290,речь/выступление перед NP-Ins,речь перед враждебно настроенной аудиторией,,Activity,Location,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
634,VP по принципу NP-Gen,на конкурсе отбирают победителя по принципу зрительского голосования,"Конструкция выражает способ, который используется при выполнении [некоторого действия]Action . Это аналогия, которая помогает адресату понять, [какой стандарт]Standard лежит в основе процесса. EXAMPLE [Большинство детских школ строится]Action [по]по [принципу]принципу [лагерей]Standard",Activity,Manner,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
,VP на основе NP-Gen,,,Activity,Manner,,,,,,,,,,,,,,,,,,,,,,,,
623,VP в NUM раз-Gen,увеличиться в четыре раза,"Конструкция обозначает, что [какое-либо действие]Action происходит несколько раз или с разной интенсивностью. -> about Activity, Key role of VP",Activity,Measure,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
463,NP VP с Num-Gen лет,я играю в баскетбол с десяти лет,,Activity,Time,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
454,NP лет Num-Gen,зашел старик лет семидесяти и попросил чашку кофе,"Примеры 2 и 3 довольно странные, их лучше заменить. С мордой в примере 3 и с набрякшими веками в примере 2 звучат очень странно.",Characteristics,Approximation,Age,Measure,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
291,рублей Num-Acc,У Маши было рублей сто на книги.,,Characteristics,Approximation,Money,Measure,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
643,VP NP-Gen на Num-Acc,они уехали на дачу дня на два,,Characteristics,Approximation,Time,Measure,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
644,VP NP-Gen через Num-Acc,он хочет купить машину года через два,,Characteristics,Approximation,Time,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
