,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,,,,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES
ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern,,,Тэги из гуглдока,Структурные особенности,Negation,Reduplication,Inversion
3,(а) как же NP-Nom?,А как же мама?,,Discourse,Reaction to the previous discourse,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
4,(а) при чём здесь|тут NP-Nom?,При чём здесь наши отношения?,,Discourse,Reaction to the previous discourse,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
5,"(а) NP-Nom (же) его знает, Cl","Кто его знает, почему она так поступила",,Discourse,Degree of certainty,,,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
6,(а/так) что насчёт XP?,Что насчёт пятницы? Какие у тебя планы?,,Characteristics,Attitude,,,Interrogative,Clause,Clause,,,,,,,,,,,,,,,              ,,,,
7,(быть) похож на NP-Acc,Вася похож на папу,"Английскую дефиницию надо исправить, coincidental совсем про другое.",Characteristics,Comparison,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
8,"(вот) то-то и оно, что Cl","То-то и оно, что ничего бы от его помощи не изменилось.",,Discourse,Reaction to the previous discourse,Focus,,,Matrix,,,Matrix,,,,,,,,,,,,,,Reduplication,,Reduplication,
9,(всё) никак не VP-Imp,Задача всё никак не решалась,"Note: intensifier всё, similar to 79",Activity,Intensity,High,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
10,"(единственное) что NP-Nom (не) VP, так это Cl","Чего дочь не сделала, так это не убралась",,Activity,Exclusivity,,Focus,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
11,(как) по мне (так) Cl,"Как по мне, это ещё не беда","Дефиницию нужно переписать. Говорящий выражает не что для него характерно, а свое мнение.",Discourse,Source of opinion,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
12,(не) время VP-Inf,Самое время вершить большие дела.,,Activity,Causation,Indirect,Time,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
13,(пойти) весь в NP-Acc,Он пошел весь в отца,Похожий на; тэг Similarity?,Characteristics,Comparison,,,,Adj / Light verb,,,,,,Adj,,,,,,Light verb,,,,,,,,
14,(Cl) разве что/только Cl,"Не буду пить, разве что пригублю",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
15,(Cl) NP-Nom VP-Imper,А я опять переделывай всё после него,,Characteristics,Attitude,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
16,(NP-Dat) грех VP-Inf.Imp,Грех обижаться на взрослых,,Characteristics,Assessment,Negative,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
17,(NP-Dat) давно пора VP-Inf,Детям давно пора поесть,,Activity,Time,,Causation,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
18,(NP-Dat) не мешало бы VP-Inf,Нам не мешало бы подкрепиться,,Activity,Causation,Indirect,Wish,Assertive,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,Negation,Negation,,
19,(NP-Dat) не положено VP-Inf,Детям не положено гулять поздно,,Activity,Prohibition,,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,Negation,Negation,,
20,(NP-Dat) не с кем VP-Inf,Мне не с кем погулять,,Activity,Non-existence,,,,Praedic,,,,Praedic,,,,,,,,,,,,Nominal pattern,Negation,Negation,,
21,(NP-Dat) нельзя не VP-Inf,Нельзя было не согласиться с ним тогда,,Activity,Attitude,,,,Praedic,,,,Praedic,,,,,,,,,,,,Verb pattern,Negation,Negation,,
22,(NP-Dat) NP-Acc девать некуда,Нам уже еду девать некуда,,Characteristics,Measure,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
23,(NP-Dat) VP-Inf незачем,Жить ему было незачем,,Activity,Non-existence,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
24,(NP-Dat) VP-Inf некуда,Дальше идти некуда,"Проверить ссылку на Иомдина, зачем она здесь? проблемы в ее записи",Activity,Non-existence,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
25,(NP-Dat) VP-Inf нечего,Есть было нечего,,Activity,Non-existence,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
26,(NP-Nom) только что VP-Perf.Past,Вася только что принес деньги,,Activity,Time,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
27,(NP-Nom) это в первую очередь Cl,Это в первую очередь его заслуга,,Discourse,Focus,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
28,(NP-Nom) VP-VP и Cl,Поспит-поспит и проснётся,,Activity,Continuation,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Reduplication,,Reduplication,
29,абы SCONJ,"Он делал работу хорошо, а не абы как",,Characteristics,Assessment,Negative,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
30,ай да NP-Nom!,– Ай да герой! – крикнул директор в восторге.,,Characteristics,Assessment,Positive,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,Simple,,,,
31,ах Pron-Nom NP-Nom!,Ах ты подлец!,,Characteristics,Assessment,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,Simple,,,,
32,без малого Num NP-Gen,Без малого двадцать лет,"В поиске по запросу формулы без малого Num NP-Gen конструкция не выдается, появляется только при поиске слов @без малого@. Проверить, почему так. Надо откорректировать старую форму записи с подчеркиваниями.",Characteristics,Measure,,Approximation,,Adv,,,,,,,Adv,,,,,,,,,,,,,
33,без пяти минут NP-Nom,без пяти минут врач,,Characteristics,Categorisation,,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
34,благоволите VP-Inf,Благоволите ответить,,Activity,Causation,Direct,Request,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
35,бог весть SCONJ,они принесли в пакете бог весть что,Добавить: бог знает,Characteristics,Assessment,,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
36,более чем Adv,Более чем понятно,,Characteristics,Intensity,High,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
37,больно Adv,больно хлопотно,,Characteristics,Intensity,High,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
38,бросить VP-Inf,Бросил курить,,Activity,Terminative,,,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,
39,бросить-Imper VP-Imp.Inf,брось спорить,,Activity,Prohibition,,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
40,будет Pron-Dat NP-Nom,"будет тебе счастье, ты только жди",,Activity,Prediction,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
41,будет Pron-Dat VP-Inf,будет тебе врать!,,Activity,Prohibition,,,Exclamatory,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
42,Будучи NP-Ins Cl,"Будучи американцем, он мечтал разбогатеть","Дефиницию нужно переписать. Деепричастие обычно характеризует действие, а не подлежащее.",Activity,Cause,,Condition,,Adv,,,,,,,Adv,,,,,,,,,,,,,
43,"быть за то, чтобы Cl","я за то, чтобы ты у нас жил",,Discourse,Attitude,Positive,,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
44,быть полный-Short NP-Gen,Он был полон энтузиазма,"Во втором примере в описании конструкции выражение полна энергией, с творительным падежом, а не родительным.",Characteristics,Temporary state,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
45,быть-Fut знать как Cl,"Будет знать, как убегать от родителей",,Discourse,Attitude,Negative,Threat,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
46,"быть-Past бы NP, а Cl","было бы желание, а деньги найдутся",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
47,"в глубине души NP-Nom VP,( что Cl)",В глубине души именно на это я и рассчитывал.,,Activity,Manner,,Attitude,,Adv,,,,,,,Adv,,,,,,,,,,,,,
48,в жизни не Cl,Я в жизни никуда не опаздывал,,Activity,Intensity,High,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
49,в зависимости от NP-Gen,уровень зарплаты определяется в зависимости от опыта работы,,Activity,Cause,,Condition,,Prep,,,,,,,,,Prep,,,,,,,,,,,
50,в том-то и NP-Nom Cl,"В том-то и дело, что не знаем.",,Discourse,Reaction to the previous discourse,Emphasis,,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
51,в условиях NP-Gen Cl,В условиях подъёма экономики России выросла роль временных миграций.,,Activity,Condition,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
52,в NP-Loc NP-Nom,в руке боль,,Characteristics,Location,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
53,"ввиду того, что Cl Cl","Ввиду того, что осложнилась обстановка на Ближнем Востоке, было введено чрезвычайное положение.",Add one more comma between Cl and Cl. Проверено на опечатки.,Activity,Cause,,,Assertive,Biclausal / Conj,,Biclausal,,,,,,Conj,,,,,,,,,,,,
54,велеть NP-Dat VP-Inf,мать велела сыну учиться,,Activity,Causation,Direct,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
55,весом в Num-Acc NP-Gen,весом в шесть тонн,,Characteristics,Measure,Weight,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
56,весь в NP-Loc,Он пришел весь в синяках,"Дефиниция мне не нравится, ее надо переписать. Нужно обязательно сказать, что объект покрыт чем-то.",Characteristics,Intensity,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
57,взять и VP,он взял и увез меня в деревню,Плохо выглядит ссылка на статью Стойновой. Ссылки должны быть оформлены лучше.,Activity,Unexpected outcome,,Result,,Light verb,,,,,,,,,,,,Light verb,,,,,,,,
58,вне зависимости от NP-Gen,вне зависимости от погоды мы пойдем гулять,,Activity,Condition,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
59,"во всяком случае, Cl","во всяком случае, эксперты не исключают такого исхода событий",,Discourse,Concession,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
