,,
ай да NP-Nom,– Ай да герой! – крикнул директор в восторге.,Assessment
ах Pron-Nom NP-Nom!,Ах ты подлец!,Assessment
бог весть SCONJ,,Assessment
Всего лишь NP-Nom,,Assessment
всего-навсего NP,,Assessment
всем Noun-Dat.Plur Noun-Nom,,Assessment
далеко не Adj/Adv NP,,Assessment
до чего NP-Nom Adj-Nom,,Assessment
ещё (и) Cl!,,Assessment
"ишь, какой Adj-Nom",,Assessment
каков Noun-Nom!,,Assessment
какой (там) XP!,,Assessment
какой из Pron-Gen NP-Nom?,,Assessment
какой такой NP-Nom,,Assessment
мастак VP-Inf|на NP-Acc,,Assessment
не NP-Nom какой-нибудь,,Assessment
никакой PRON не (быть-Past) XP,,Assessment
ничего себе NP-Nom,,Assessment
ничего NP-Nom,,Assessment
ничего Pron-Nom не Cl,,Assessment
ну и NP-Nom!,,Assessment
ну/так уж (и) Cl,,Assessment
ох и AP-Short NP-Nom,,Assessment
ох уж этот NP-Nom!,,Assessment
подумаешь (какой) Cl,,Assessment
разве не NP-Nom?,,Assessment
своего рода NP,,Assessment
"слишком AP-Short, чтобы VP-Inf",,Assessment
совсем ещё NP,,Assessment
так называемый NP,,Assessment
тоже мне NP-Nom,,Assessment
тот ещё NP-Nom,,Assessment
хороший-Short NP-Nom!,,Assessment
чудо какой Adj,,Assessment
Adv-то как Cl!,,Assessment
Cl очень даже XP!,,Assessment
Cl чем не NP-Nom,,Assessment
Noun NP-Gen.Plur,,Assessment
Noun-то!,,Assessment
NP быть не ахти (какой),,Assessment
NP из NP-Gen.Plur,,Assessment
NP с большой буквы,,Assessment
NP что надо,,Assessment
NP-Acc не проведешь,,Assessment
NP-Dat далеко до NP-Gen,,Assessment
NP-Nom (быть) так себе,,Assessment
NP-Nom (это) ещё ничего,,Assessment
NP-Nom какой,,Assessment
NP-Nom не из AP-Gen,,Assessment
NP-Nom самый что ни на есть NP-Nom,,Assessment
NP-Nom NP-Nom VP-Inf,,Assessment
VP так себе,,Assessment
