,,
вроде (как) Cl,,Degree of certainty
вроде бы XP,,Degree of certainty
вряд ли Cl,,Degree of certainty
"держу пари, что Cl",,Degree of certainty
"должно быть, Cl",,Degree of certainty
едва ли VP,,Degree of certainty
"может быть, Cl",,Degree of certainty
не то XP не то XP,,Degree of certainty
неужели (не) VP,,Degree of certainty
никак VP?,,Degree of certainty
по крайней мере Cl,,Degree of certainty
"само собой, Cl",,Degree of certainty
"сдаётся PRON-Dat, Cl",,Degree of certainty
то ли XP то ли XP,,Degree of certainty
ходить слух что Cl,,Degree of certainty
ходить NP-Nom о|про NP-Ins,,Degree of certainty
NP как будто VP,,Degree of certainty
NP-Nom будто бы VP,,Degree of certainty
