(не) время VP-Inf,Самое время вершить большие дела.,Activity Causation Prohibition,,,,,Clause,Clause,,,,,,,,,,,,,,,,Negation
(Cl) NP-Nom VP-Imper,А я опять переделывай всё после него,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,,Clause,Clause,,,,,,,,,,,,,,,,
(NP-Dat) NP-Acc девать некуда,Нам уже еду девать некуда,Characteristics Measure,,,,,Clause,Clause,,,,,,,,,,,,,,,,
(NP-Nom) это в первую очередь Cl,Это в первую очередь его заслуга,"Focus similar главным образом, в основном, в последнюю очередь Конструкция обозначает, что для какого-либо [объекта/сущности]Theme что-то является главным, важным, несмотря на какие-либо обстоятельство, прежде всего нужно считаться с данным [объектом]Theme. Focus",,,,,Clause,Clause,,,,,,,,,,,,,,,,
благоволите VP-Inf,Благоволите ответить,Activity Causation Request Similar to разрешите ответить,,,,,Clause,Clause,,,,,,,,,,,,,,,,
будет Pron-Dat NP-Nom,"будет тебе счастье, ты только жди",,,,,,Clause,Clause,,,,,,,,,,,,,,,,
вон как VP,вон как озверел,,,                                                                                                                                                                             ,,,Clause,Clause,,,,,,,,,,,,,,,,
вот бы Cl,вот бы мама сделала вкусный пирог,"Wish Конструкция выражает пожелание говорящего, чтобы [некоторая ситуация]Situation исполнилась в будущем. Может относиться как к реально возможным событиям, так и к неосуществимым.",,,,,Clause,Clause,,,,,,,,,,,,,,,,
вот и Adv,вот и чудесно,Characteristics Assessment,,,,,Clause,Clause,,,,,,,,,,,,,,,,
вот и VP,вот и поговори с ним,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
время NP-Gen (не) пришло,время серьезного разговора пришло,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
время NP-Gen прошло,время сомнений прошло,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
даже не VP-Imper,даже не думай обманывать родителей,Activity Prohibition,,,,,Clause,Clause,,,,,,,,,,,,,,,,
дело не в NP-Loc,дело не в опозданиях,Discourse Topic Cause,,,,,Clause,Clause,,,,,,,,,,,,,,,,
до чего NP-Nom Adj-Nom,до чего ты злой,Add Intensity,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
едва ли VP,едва ли Паша заплатит,I agree,Discourse,Degree of certainty,,,Clause,Clause,,,,,,,,,,,,,,,,
"ишь, какой Adj-Nom","Ишь, какой веселый",I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
как-никак NP,как-никак поджог,Similar to все-таки,,,,,Clause,Clause,,,,,,,,,,,,,,,,
какое NP-Dat дело до NP-Gen,"в конце концов, какое ей дело до его отношений с Ритой",Characteristics Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,
кому какое дело до NP-Gen,кому какое дело до твоей проблемы,Characteristics Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,
куда NP-Dat до NP-Gen,Куда Оле до моей дочки. Она ведь такая красивая!,I agree,Characteristics,Comparison,,Intensity,Clause,Clause,,,,,,,,,,,,,,,,
ладно бы Cl,ладно бы он поел кашу с утра,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ладно Pron-2.Dat VP-Inf,Ладно вам сердиться,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
легко сказать VP-Imper,"Легко сказать, потерпи",,,,,,Clause,Clause,,,,,,,,,,,,,,,,
лучше VP-Imper,лучше не говори мне про это,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
мочь-Past бы и не VP-Inf.Imp,Мог бы и не спрашивать о моём настроении,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
мочь-Past бы и VP-Inf,мог_бы_и_написать,Activity Causation Indirect,,,,,Clause,Clause,,,,,,,,,,,,,,,,
надо же было VP-Inf,надо же было связаться с такими людьми,Assessment Negative,,,,,Clause,Clause,,,,,,,,,,,,,,,,
не вздумай VP-Inf,не вздумай обмануть родителей,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
не смей VP-Inf.Imp,не смей ругаться,Activity Prohibition,,,,,Clause,Clause,,,,,,,,,,,,,,,,
не VP ни NP-Gen,не говорил ни слова,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
не-ADV бы VP-Inf,неплохо бы отдохнуть,Activity Causation Indirect,,,,,Clause,Clause,,,,,,,,,,,,,,,,
нельзя ли VP-Inf?,нельзя ли сделать музыку потише,Activity Causation Indirect Request,,,,,Clause,Clause,,,,,,,,,,,,,,,,
нет бы VP-Inf,Нет бы сделать домашнее задание пораньше,Activity Causation Indirect,,,,,Clause,Clause,,,,,,,,,,,,,,,,
нет-нет да и VP-Perf,нет-нет да и скажет что-нибудь,Activity Time Regularity Frequency Quantity?,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ни за какие NP-Nom.Pl не VP,ни за какие деньги не продам дом,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ни капли NP-Gen нет,ни капли сострадания к ней нет,Characteristics Measure Non-existence,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ни слова NP-Dat о NP-Dat!,ни слова маме о нашей поездке,I agree,Activity,Prohibition,,,Clause,Clause,,,,,,,,,,,,,,,,
никакой NP не VP-Fut,никакая скорая помощь не проедет,Intensity Assessment,,,,,Clause,Clause,,,,,,,,,,,,,,,,
никакой PRON не (быть-Past) XP,Никакой он не гений,Add Intensity,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
ничего не VP,Вася ничего не ел,Not a construction,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ничего Adj-Gen,Ничего хорошего,Characteristics Assessment Intensity,,,,,Clause,Clause,,,,,,,,,,,,,,,,
